Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM
285,North Carolina A&T,-10.95,95.4,106.4,70.8,0.078,-5.13,97.7,102.8,2.62
286,Columbia,-10.98,94.7,105.7,69.2,0.0,-99.0,0.0,200.0,-99.0
287,Quinnipiac,-11.07,89.5,100.6,72.2,-0.042,-7.4,97.4,104.8,-5.01
288,Florida Gulf Coast,-11.18,93.1,104.3,70.9,0.07200000000000001,-6.79,98.6,105.4,-5.09
289,Coppin St.,-11.21,91.1,102.3,77.0,0.073,-2.42,101.4,103.8,7.32
290,UT Rio Grande Valley,-11.29,91.5,102.8,69.9,-0.05,-4.32,99.4,103.7,-1.49
291,FIU,-11.33,97.4,108.7,70.6,-0.09,-0.13,101.9,102.0,-7.8
292,Western Illinois,-11.8,97.7,109.5,71.7,-0.01,-1.3,103.6,104.9,-0.04
293,NJIT,-11.83,94.2,106.0,68.4,0.024,-4.31,98.7,103.0,-0.72
294,Fairleigh Dickinson,-11.89,100.9,112.8,70.9,0.017,-5.82,98.9,104.7,3.92
295,New Mexico,-11.92,91.4,103.4,68.0,-0.039,3.26,104.4,101.2,-4.44
296,St. Francis NY,-11.95,101.0,113.0,72.8,0.03,-8.41,97.1,105.5,-6.74
297,Holy Cross,-11.96,97.4,109.3,69.4,-0.047,-2.12,102.1,104.2,-99.0
298,Towson,-11.97,99.1,111.1,66.0,-0.022000000000000002,-0.39,102.3,102.7,8.72
299,Louisiana Monroe,-11.99,93.3,105.3,67.4,-0.04,-3.74,99.5,103.2,-2.72
300,Robert Morris,-11.99,98.2,110.2,67.5,-0.053,-0.33,104.8,105.1,8.8
301,William & Mary,-12.03,94.9,107.0,68.3,0.106,-0.63,103.0,103.7,0.6
302,Middle Tennessee,-12.12,91.4,103.5,69.5,-0.035,2.9,102.6,99.7,0.83
303,Jacksonville,-12.15,93.3,105.4,67.8,0.05,-5.09,100.1,105.2,-4.94
304,Fordham,-12.3,86.5,98.8,64.0,0.018000000000000002,6.77,105.9,99.2,-99.0
